PaymentId,InvoiceId,CustomerId,PaymentDate,PaymentAmount,PaymentMethod,PaymentStatus,CreatedBy
97408632-640c-4c4d-8083-1b255ab6ff0f,ee846c2a-f233-421e-9133-e5e71bf142b4,CID-001,2025-01-15,2022.68,MC,Completed,SampleGen
a481140e-dfbd-45bf-b8da-1145e4408063,e942ced7-4cf5-480c-b80b-a6984e4c99c3,CID-001,2025-02-21,239.24,PayPal,Completed,SampleGen
8f234104-3f70-4704-bade-1304ba9086ea,0183705a-d921-4530-8a2c-d0694dc46301,CID-001,2025-03-23,587.22,Discover,Completed,SampleGen
4672f66c-5d16-4bfe-aefd-56f96f20252c,935b0a41-2b25-4e17-9495-b47926e0b47c,CID-001,2025-04-16,195.73,AmEx,Completed,SampleGen
1a3666cc-dd10-4b99-8920-a8538059f0cb,8fde9292-166e-4349-96c1-041103e407a6,CID-001,2025-05-30,489.34,MC,Completed,SampleGen
71ce41e6-23d6-4ab4-aba0-0122d366f9aa,593c9fe7-2a31-4596-8c39-3dc43a2c3897,CID-001,2025-06-03,342.54,VISA,Completed,SampleGen
c835bcf0-744c-4d9d-80ca-9ff717ca3ba3,ad6ac3a0-aa9f-4583-b674-387c6789c7c9,CID-001,2025-07-04,1826.95,AmEx,Completed,SampleGen
ccee06bb-ec0d-48a6-94e3-7c9b8601284c,a0739b1b-53f2-4c40-a1d1-3868da7fcb96,CID-001,2025-08-16,1000.43,VISA,Completed,SampleGen
a89013a5-00e9-4a93-afcb-c9e5d435ea40,ead8c02a-bf5e-4e3d-a2cd-6307518fb9a3,CID-001,2025-09-18,891.71,AmEx,Completed,SampleGen
b7f80fc8-bec9-4329-adb7-ec0d526e0629,b66f45ea-37b2-4c99-b291-f3809be278ab,CID-001,2025-10-04,1468.09,MC,Completed,SampleGen
7ae0bc9c-d473-4724-a2fe-29cf32863480,92e8c1a5-eedd-4bfc-8001-1dda0d06973f,CID-001,2025-11-11,1054.8,MC,Completed,SampleGen
b1d24763-8648-4f85-9ae7-5268ed3524eb,bd0e524b-d851-47e0-b30b-1c3715932595,CID-001,2025-12-06,750.31,VISA,Completed,SampleGen
ec02d5d9-b84b-4b21-a109-bd078d66683f,84a4bd3f-ae45-4cc3-964b-17cd11f232e8,CID-001,2025-12-10,619.82,Discover,Completed,SampleGen
0046a0bc-be30-4fbd-ba37-05b074d66bc9,92427bc9-0a5f-4e83-aaf1-b2cb33b4a530,CID-001,2026-01-30,173.98,MC,Completed,SampleGen
9db25e7f-8bdc-4a3b-86f4-7e3731446163,91af9076-d805-4db4-a9d7-b91dfbf255c5,CID-001,2026-02-19,685.09,MC,Completed,SampleGen
adfde2f4-6de2-4f5e-a356-7e20d62a8507,34e3a7cf-3cd2-4f7a-b067-b33fb9c1d087,CID-001,2026-03-31,380.58,PayPal,Completed,SampleGen
9b113253-a038-4f7b-93c9-de4277572b3c,76224148-7f80-4320-ba4b-8a63001e69cb,CID-002,2025-01-20,685.08,VISA,Completed,SampleGen
83ee190c-8744-4b93-976c-2ff74a4f5b8d,fef22c71-2b4c-404c-a0df-5e775f0e2784,CID-002,2025-02-14,2381.52,AmEx,Completed,SampleGen
d8c155a7-ce8b-464e-afc5-ff524d76f5f6,c3b52ece-3021-4e9d-be78-37796b0ffac3,CID-002,2025-03-13,1685.55,VISA,Completed,SampleGen
f6dc821b-2417-4cd3-89b1-dfd8aeb35f8c,637e92ae-9e61-466e-a974-f0b2431ba2e9,CID-002,2025-04-16,685.1,MC,Completed,SampleGen
1fbcace2-b75b-41f0-9849-f06855e685a4,1a285b9f-8d53-4f42-9c8c-c5a0255643f7,CID-002,2025-05-29,1859.53,VISA,Completed,SampleGen
0c7e9354-951c-4cda-a30d-63e8bd62e720,9322ee8f-a771-48b7-af18-ef1993479cf7,CID-002,2025-06-27,1239.66,MC,Completed,SampleGen
1f61c38a-9acd-402c-8bcf-d45947a4d409,47d557d2-3b1d-4874-a395-193f7a37958b,CID-002,2025-07-21,918.88,MC,Completed,SampleGen
