InvoiceId,InvoiceNumber,CustomerId,OrderId,InvoiceDate,DueDate,SubTotal,TaxAmount,TotalAmount,InvoiceStatus,CreatedBy
INV-d86e8871-db75-4394-aa7b-d97cc5715d77,IS300000,CID-001,d86e8871-db75-4394-aa7b-d97cc5715d77,2026-02-28,2026-03-30,3999.94,350.0,4349.94,Paid,SampleGen
INV-c3abe47a-fbf6-4cc0-b93f-d6e4aefde472,IS300001,CID-001,c3abe47a-fbf6-4cc0-b93f-d6e4aefde472,2025-11-04,2025-12-04,799.98,70.0,869.98,Paid,SampleGen
INV-0d01fd60-f078-4a3b-b862-e79c676c9281,IS300002,CID-001,0d01fd60-f078-4a3b-b862-e79c676c9281,2025-10-14,2025-11-13,2439.94,213.49,2653.43,Paid,SampleGen
INV-3accc9aa-98d1-43f6-9906-bd5cba333b92,IS300003,CID-001,3accc9aa-98d1-43f6-9906-bd5cba333b92,2025-06-02,2025-07-02,729.98,63.87,793.85,Paid,SampleGen
INV-320a8d88-4da6-412b-a870-e214e58a9bf1,IS300004,CID-001,320a8d88-4da6-412b-a870-e214e58a9bf1,2025-06-08,2025-07-08,1279.95,111.99,1391.94,Paid,SampleGen
INV-3bcbfb76-c4bc-4844-95a1-981245acdd52,IS300005,CID-001,3bcbfb76-c4bc-4844-95a1-981245acdd52,2026-02-22,2026-03-24,179.99,15.75,195.74,Paid,SampleGen
INV-22739200-1776-4304-ba65-325b3625f174,IS300006,CID-002,22739200-1776-4304-ba65-325b3625f174,2025-07-16,2025-08-15,189.99,16.62,206.61,Paid,SampleGen
INV-65cfafd5-1094-4d24-8fce-5b98a400e274,IS300007,CID-003,65cfafd5-1094-4d24-8fce-5b98a400e274,2025-06-11,2025-07-11,2349.96,205.62,2555.58,Paid,SampleGen
INV-09f4499f-4ba9-48b7-8d1b-4d3520972afd,IS300008,CID-003,09f4499f-4ba9-48b7-8d1b-4d3520972afd,2025-12-03,2026-01-02,449.99,39.37,489.36,Paid,SampleGen
INV-f4672187-b4ac-4ed0-a034-eed5194e0d2e,IS300009,CID-003,f4672187-b4ac-4ed0-a034-eed5194e0d2e,2025-09-08,2025-10-08,1589.94,139.12,1729.06,Paid,SampleGen
INV-b40ddf32-661a-40e6-bbd1-6245e3c3cb5b,IS300010,CID-003,b40ddf32-661a-40e6-bbd1-6245e3c3cb5b,2026-03-08,2026-04-07,459.97,40.25,500.22,Paid,SampleGen
INV-522e8942-0515-4569-9188-6fb75ff11535,IS300011,CID-003,522e8942-0515-4569-9188-6fb75ff11535,2025-09-12,2025-10-12,399.98,35.0,434.98,Paid,SampleGen
INV-9fc8d65f-b518-45ac-bb09-01e91d21719a,IS300012,CID-004,9fc8d65f-b518-45ac-bb09-01e91d21719a,2025-10-15,2025-11-14,1209.96,105.87,1315.83,Paid,SampleGen
INV-c1abc160-2a92-48cf-9da7-d1887a30e89e,IS300013,CID-004,c1abc160-2a92-48cf-9da7-d1887a30e89e,2025-09-23,2025-10-23,3079.93,269.5,3349.43,Paid,SampleGen
INV-de8bc549-1a4c-424c-bf29-eec4ce00fce8,IS300014,CID-005,de8bc549-1a4c-424c-bf29-eec4ce00fce8,2025-11-25,2025-12-25,3649.93,319.37,3969.3,Paid,SampleGen
INV-9abeafaa-4ce8-40d0-a5b1-541a72d3ed4f,IS300015,CID-005,9abeafaa-4ce8-40d0-a5b1-541a72d3ed4f,2025-12-17,2026-01-16,3549.95,310.62,3860.57,Paid,SampleGen
INV-550125e7-5968-4927-8621-5d328c7ed0fc,IS300016,CID-005,550125e7-5968-4927-8621-5d328c7ed0fc,2026-02-14,2026-03-16,899.99,78.75,978.74,Paid,SampleGen
INV-f87c06a8-a476-4574-8370-bbcdb7ef924a,IS300017,CID-005,f87c06a8-a476-4574-8370-bbcdb7ef924a,2026-02-21,2026-03-23,849.98,74.37,924.35,Paid,SampleGen
INV-3e9918a4-d00a-4964-9025-869d444744a5,IS300018,CID-006,3e9918a4-d00a-4964-9025-869d444744a5,2025-09-09,2025-10-09,2079.94,181.99,2261.93,Paid,SampleGen
INV-606e81b7-469e-481a-aef1-4f7de8927729,IS300019,CID-006,606e81b7-469e-481a-aef1-4f7de8927729,2025-07-27,2025-08-26,2639.94,231.0,2870.94,Paid,SampleGen
INV-66a0d761-d1b3-4972-a0c8-d541023ccd38,IS300020,CID-006,66a0d761-d1b3-4972-a0c8-d541023ccd38,2025-07-14,2025-08-13,1099.96,96.25,1196.21,Paid,SampleGen
INV-1f338ca2-6e7e-4b1e-ab14-ae153e3bf264,IS300021,CID-006,1f338ca2-6e7e-4b1e-ab14-ae153e3bf264,2025-08-12,2025-09-11,14.99,1.31,16.3,Paid,SampleGen
INV-1745d7e2-cf75-4b8d-9749-75d7a83f4451,IS300022,CID-006,1745d7e2-cf75-4b8d-9749-75d7a83f4451,2026-01-10,2026-02-09,2139.95,187.25,2327.2,Paid,SampleGen
INV-81e37c99-dd11-440d-b605-1a5ae1c95391,IS300023,CID-007,81e37c99-dd11-440d-b605-1a5ae1c95391,2025-09-21,2025-10-21,2199.96,192.5,2392.46,Paid,SampleGen
INV-1387efc0-1ef0-4eb4-98a4-d5d09b544017,IS300024,CID-007,1387efc0-1ef0-4eb4-98a4-d5d09b544017,2025-11-02,2025-12-02,1909.96,167.12,2077.08,Paid,SampleGen
INV-91a86209-3eea-49a1-acab-0739dcba7af6,IS300025,CID-008,91a86209-3eea-49a1-acab-0739dcba7af6,2025-11-01,2025-12-01,2129.95,186.37,2316.32,Paid,SampleGen
INV-058f3987-33f4-4d79-bdf3-14154d7eddbe,IS300026,CID-008,058f3987-33f4-4d79-bdf3-14154d7eddbe,2025-08-16,2025-09-15,849.96,74.37,924.33,Paid,SampleGen
INV-2f629099-dca1-452f-8a56-b4fa0aab9601,IS300027,CID-008,2f629099-dca1-452f-8a56-b4fa0aab9601,2025-07-01,2025-07-31,2339.94,204.75,2544.69,Paid,SampleGen
INV-c99ee94e-10ae-42ae-8a88-1d80db5b3862,IS300028,CID-009,c99ee94e-10ae-42ae-8a88-1d80db5b3862,2026-01-17,2026-02-16,3119.93,273.0,3392.93,Paid,SampleGen
INV-2e6d69a3-c923-43db-9f4c-dacca9900e3a,IS300029,CID-010,2e6d69a3-c923-43db-9f4c-dacca9900e3a,2025-12-20,2026-01-19,2099.97,183.75,2283.72,Paid,SampleGen
INV-732b4308-7804-4b06-84e6-f33336b40453,IS300030,CID-010,732b4308-7804-4b06-84e6-f33336b40453,2025-10-28,2025-11-27,119.98,10.5,130.48,Paid,SampleGen
INV-6abde94f-5579-4f62-ac09-a220aa4ba81a,IS300031,CID-010,6abde94f-5579-4f62-ac09-a220aa4ba81a,2025-07-25,2025-08-24,1199.94,105.0,1304.94,Paid,SampleGen
INV-ab215aad-b641-41a1-92f2-26d5a5e73a40,IS300032,CID-010,ab215aad-b641-41a1-92f2-26d5a5e73a40,2025-10-03,2025-11-02,599.97,52.5,652.47,Paid,SampleGen
INV-3c2f85f6-0684-47e5-90d7-ffa59f1e9d33,IS300033,CID-010,3c2f85f6-0684-47e5-90d7-ffa59f1e9d33,2025-06-09,2025-07-09,2519.93,220.5,2740.43,Paid,SampleGen
INV-bb34271c-e1ce-4234-9944-291a9e801bf0,IS300034,CID-010,bb34271c-e1ce-4234-9944-291a9e801bf0,2026-01-06,2026-02-05,2149.96,188.12,2338.08,Paid,SampleGen
INV-5776d706-8fcc-4149-8075-35f4dac9974a,IS300035,CID-011,5776d706-8fcc-4149-8075-35f4dac9974a,2026-03-06,2026-04-05,509.95,44.62,554.57,Paid,SampleGen
INV-9883114b-ab98-4a7e-b376-4f2f63b87019,IS300036,CID-011,9883114b-ab98-4a7e-b376-4f2f63b87019,2025-06-04,2025-07-04,2609.93,228.37,2838.3,Paid,SampleGen
INV-ea602b0e-9155-40e0-b327-f04307955a8e,IS300037,CID-011,ea602b0e-9155-40e0-b327-f04307955a8e,2026-01-21,2026-02-20,3609.94,315.87,3925.81,Paid,SampleGen
INV-c71e3e81-d336-4512-952f-284cb17e9093,IS300038,CID-011,c71e3e81-d336-4512-952f-284cb17e9093,2025-06-08,2025-07-08,999.94,87.5,1087.44,Paid,SampleGen
INV-f02b3e20-cf52-4ffd-a6a0-df86b2f58b9a,IS300039,CID-012,f02b3e20-cf52-4ffd-a6a0-df86b2f58b9a,2025-12-17,2026-01-16,1359.94,118.99,1478.93,Paid,SampleGen
INV-8df94fbd-820c-4b91-89e4-46431d5b9cd8,IS300040,CID-013,8df94fbd-820c-4b91-89e4-46431d5b9cd8,2026-02-16,2026-03-18,4049.95,354.37,4404.32,Paid,SampleGen
INV-b2ec21e4-560c-42ac-8754-3f294ff5677d,IS300041,CID-013,b2ec21e4-560c-42ac-8754-3f294ff5677d,2025-09-16,2025-10-16,1819.93,159.25,1979.18,Paid,SampleGen
INV-1c5419ee-c94a-48c9-9d02-bd4bbb05cd2a,IS300042,CID-013,1c5419ee-c94a-48c9-9d02-bd4bbb05cd2a,2025-12-06,2026-01-05,1299.98,113.75,1413.73,Paid,SampleGen
INV-b7019811-0aa4-4486-b3d1-b1499f68241a,IS300043,CID-013,b7019811-0aa4-4486-b3d1-b1499f68241a,2025-07-17,2025-08-16,449.99,39.37,489.36,Paid,SampleGen
INV-08a590c2-766b-4001-8b5c-b56424da51dc,IS300044,CID-013,08a590c2-766b-4001-8b5c-b56424da51dc,2025-06-18,2025-07-18,1519.95,133.0,1652.95,Paid,SampleGen
INV-2696db35-db1c-45f7-805d-0fa619ab5744,IS300045,CID-014,2696db35-db1c-45f7-805d-0fa619ab5744,2026-02-07,2026-03-09,1349.97,118.12,1468.09,Paid,SampleGen
INV-5b393481-acd2-4291-95d1-03f143a97482,IS300046,CID-015,5b393481-acd2-4291-95d1-03f143a97482,2026-03-18,2026-04-17,119.99,10.5,130.49,Paid,SampleGen
INV-6fe8aca1-1867-4ae5-8782-6440bcaef5ca,IS300047,CID-015,6fe8aca1-1867-4ae5-8782-6440bcaef5ca,2026-01-26,2026-02-25,579.99,50.75,630.74,Paid,SampleGen
INV-b296169f-40a8-42c0-8963-d3e009b9276d,IS300048,CID-016,b296169f-40a8-42c0-8963-d3e009b9276d,2025-10-07,2025-11-06,1399.92,122.5,1522.42,Paid,SampleGen
