OrderId,OrderLineNumber,ProductId,ProductName,Quantity,UnitPrice,LineTotal,DiscountAmount,TaxAmount
391e5345-bcbb-492b-9de8-82fa697c950f,1,1521,Adventurer Pro Backpack,2,189.99,379.98,0.0,33.25
391e5345-bcbb-492b-9de8-82fa697c950f,2,1541,TrekReady Hiking Boots,2,179.99,359.98,0.0,31.5
b8ad16a1-6412-4e48-b494-a2ba51d4e522,1,1541,TrekReady Hiking Boots,3,179.99,539.97,0.0,47.25
b8ad16a1-6412-4e48-b494-a2ba51d4e522,2,1512,SkyView 2-Person Tent,2,329.99,659.98,0.0,57.75
b8ad16a1-6412-4e48-b494-a2ba51d4e522,3,1572,MountainDream Sleeping Bag,3,289.99,869.97,0.0,76.12
b8ad16a1-6412-4e48-b494-a2ba51d4e522,4,1511,Alpine Explorer Tent,3,449.99,1349.97,0.0,118.12
f3f43629-3867-470f-852d-215b9291f746,1,1532,TrailBlaze Hiking Pants,1,89.99,89.99,0.0,7.87
f3f43629-3867-470f-852d-215b9291f746,2,1522,SummitClimber Backpack,3,219.99,659.97,0.0,57.75
f3f43629-3867-470f-852d-215b9291f746,3,1551,BaseCamp Folding Table,3,89.99,269.97,0.0,23.62
f3f43629-3867-470f-852d-215b9291f746,4,1521,Adventurer Pro Backpack,3,189.99,569.97,0.0,49.87
95d12ad0-3268-4257-bd58-6018da2313f0,1,1553,Adventure Dining Table,3,149.99,449.97,0.0,39.37
95d12ad0-3268-4257-bd58-6018da2313f0,2,1512,SkyView 2-Person Tent,3,329.99,989.97,0.0,86.62
65ebbc92-5e9b-4b3b-b758-39111fefde14,1,1512,SkyView 2-Person Tent,3,329.99,989.97,0.0,86.62
65ebbc92-5e9b-4b3b-b758-39111fefde14,2,1523,TrailLite Daypack,3,79.99,239.97,0.0,21.0
65ebbc92-5e9b-4b3b-b758-39111fefde14,3,1523,TrailLite Daypack,3,79.99,239.97,0.0,21.0
65ebbc92-5e9b-4b3b-b758-39111fefde14,4,1521,Adventurer Pro Backpack,3,189.99,569.97,0.0,49.87
9ef75ba4-cca0-431e-9ebb-afc33e237a31,1,1553,Adventure Dining Table,2,149.99,299.98,0.0,26.25
056afaf3-5c6d-4371-8fee-1cf9ca64343e,1,1552,TrekMaster Camping Chair,3,74.99,224.97,0.0,19.68
2ef84797-430d-470e-9786-3e4ccdb029ac,1,1553,Adventure Dining Table,3,149.99,449.97,0.0,39.37
6125c454-0a7c-4e7b-8645-5f93d4e8770c,1,1533,RainGuard Hiking Jacket,3,169.99,509.97,0.0,44.62
6125c454-0a7c-4e7b-8645-5f93d4e8770c,2,1522,SummitClimber Backpack,1,219.99,219.99,0.0,19.25
6125c454-0a7c-4e7b-8645-5f93d4e8770c,3,1541,TrekReady Hiking Boots,3,179.99,539.97,0.0,47.25
c8ca4405-edb6-41ba-9abd-1ff22b03a243,1,1521,Adventurer Pro Backpack,3,189.99,569.97,0.0,49.87
c8ca4405-edb6-41ba-9abd-1ff22b03a243,2,1523,TrailLite Daypack,3,79.99,239.97,0.0,21.0
c8ca4405-edb6-41ba-9abd-1ff22b03a243,3,1541,TrekReady Hiking Boots,1,179.99,179.99,0.0,15.75
c1859c11-4dc4-47ff-834f-04ff7eceac41,1,1572,MountainDream Sleeping Bag,3,289.99,869.97,0.0,76.12
c1859c11-4dc4-47ff-834f-04ff7eceac41,2,1552,TrekMaster Camping Chair,2,74.99,149.98,0.0,13.12
c1859c11-4dc4-47ff-834f-04ff7eceac41,3,1521,Adventurer Pro Backpack,2,189.99,379.98,0.0,33.25
ce069d1c-5442-419e-904e-893fd7074b96,1,1522,SummitClimber Backpack,1,219.99,219.99,0.0,19.25
ce069d1c-5442-419e-904e-893fd7074b96,2,1512,SkyView 2-Person Tent,2,329.99,659.98,0.0,57.75
ce069d1c-5442-419e-904e-893fd7074b96,3,1553,Adventure Dining Table,3,149.99,449.97,0.0,39.37
16c9d15c-36ea-41cb-a441-b83460d3105e,1,1511,Alpine Explorer Tent,3,449.99,1349.97,0.0,118.12
16c9d15c-36ea-41cb-a441-b83460d3105e,2,1541,TrekReady Hiking Boots,1,179.99,179.99,0.0,15.75
197d959d-999b-410c-82c4-310591deffc0,1,1511,Alpine Explorer Tent,3,449.99,1349.97,0.0,118.12
197d959d-999b-410c-82c4-310591deffc0,2,1511,Alpine Explorer Tent,2,449.99,899.98,0.0,78.75
197d959d-999b-410c-82c4-310591deffc0,3,1543,TrekStar Hiking Sandals,3,89.99,269.97,0.0,23.62
197d959d-999b-410c-82c4-310591deffc0,4,1553,Adventure Dining Table,3,149.99,449.97,0.0,39.37
3554199a-c9fa-4a2d-8fd2-53c4153fd561,1,1542,TrailWalker Hiking Shoes,1,129.99,129.99,0.0,11.37
3554199a-c9fa-4a2d-8fd2-53c4153fd561,2,1572,MountainDream Sleeping Bag,2,289.99,579.98,0.0,50.75
3554199a-c9fa-4a2d-8fd2-53c4153fd561,3,1521,Adventurer Pro Backpack,1,189.99,189.99,0.0,16.62
8105fd3f-2778-46f5-be6e-7a01e68f6f52,1,1522,SummitClimber Backpack,3,219.99,659.97,0.0,57.75
8105fd3f-2778-46f5-be6e-7a01e68f6f52,2,1522,SummitClimber Backpack,3,219.99,659.97,0.0,57.75
8105fd3f-2778-46f5-be6e-7a01e68f6f52,3,1531,Summit Breeze Jacket,1,149.99,149.99,0.0,13.12
878a5b37-f5c0-45fc-8892-c6a40b2d2408,1,1521,Adventurer Pro Backpack,1,189.99,189.99,0.0,16.62
e87f8303-d532-419c-8faf-c0f9a91aa60b,1,1532,TrailBlaze Hiking Pants,2,89.99,179.98,0.0,15.75
e87f8303-d532-419c-8faf-c0f9a91aa60b,2,1512,SkyView 2-Person Tent,1,329.99,329.99,0.0,28.87
e87f8303-d532-419c-8faf-c0f9a91aa60b,3,1512,SkyView 2-Person Tent,2,329.99,659.98,0.0,57.75
e87f8303-d532-419c-8faf-c0f9a91aa60b,4,1572,MountainDream Sleeping Bag,2,289.99,579.98,0.0,50.75
dcb8c0f5-e222-4d16-83e5-9b6fac6f7c74,1,1552,TrekMaster Camping Chair,2,74.99,149.98,0.0,13.12
dcb8c0f5-e222-4d16-83e5-9b6fac6f7c74,2,1553,Adventure Dining Table,2,149.99,299.98,0.0,26.25
dcb8c0f5-e222-4d16-83e5-9b6fac6f7c74,3,1541,TrekReady Hiking Boots,2,179.99,359.98,0.0,31.5
dcb8c0f5-e222-4d16-83e5-9b6fac6f7c74,4,1543,TrekStar Hiking Sandals,3,89.99,269.97,0.0,23.62
3f3fceee-04f9-4b88-bf1d-a532fc782039,1,1533,RainGuard Hiking Jacket,3,169.99,509.97,0.0,44.62
3f3fceee-04f9-4b88-bf1d-a532fc782039,2,1552,TrekMaster Camping Chair,2,74.99,149.98,0.0,13.12
